Note,Button,Direction,Side,Recording
E2,10,push,left,y
F2,2/0,push,left,y
G2,1,push,left,
G2,2/0,pull,left,y
A2,5,push,left,y
A2,1/2,pull,left,
A#2,2/3,push,left,y
B2,10,pull,left,y
C3,0,pull,left,y
C#3,4/0,push,left,y
D3,1/2,push,left,
D3,1,pull,left,y
D#3,3/4,pull,left,y
E3,6,push,left,
E3,5,pull,left,y
F3,14,push,left,y
F3,0/0,pull,left,
F#3,+,push,left,
F#3,1/0,pull,left,y
G3,2,push,left,y
G3,2/3,pull,left,
G#3,0/0,push,left,y
G#3,6,pull,left,
A3,7,push,left,
A3,2,pull,left,y
A#3,1/0,push,left,y
A#3,+,pull,left,
B3,13,push,left,
B3,7,pull,left,
B3,3,push,left,y
C4,3/4,push,left,
C4,3,pull,left,
C4,𝄌,pull,right,y
C#4,14,pull,left,
C#4,8,push,left,y
C#4,𝄌,push,right,
D4,4,push,left,y
D4,8,pull,left,
D4,*,push,right,
D4,+,pull,right,
D#4,13,pull,left,y
E4,11,push,left,y
E4,9,push,left,
E4,4,pull,left,
E4,3/0,push,right,
E4,4/0,pull,right,
F4,0,push,left,
F4,4/0,pull,left,
F4,+,push,right,y
F4,*,pull,right,
F#4,11,pull,left,
F#4,9,pull,left,
F#4,1/0,push,right,
F#4,1,pull,right,y
G4,3/0,push,left,
G4,3/0,pull,left,
G4,1,push,right,y
G4,1/0,pull,right,
G#4,12,push,left,
G#4,4/0,push,right,y
G#4,5,pull,right,
A4,12,pull,left,
A4,5,push,right,y
A4,2,pull,right,
A#4,10,push,right,
A#4,3/0,pull,right,y
B4,2,push,right,y
B4,6,pull,right,
C5,2/0,push,right,y
C5,3,pull,right,
C#5,6,push,right,y
C#5,5/0,pull,right,
D5,3,push,right,y
D5,7,pull,right,
D#5,6/0,push,right,
D#5,10,pull,right,y
E5,7,push,right,y
E5,4,pull,right,
F5,0,push,right,
F5,6/0,pull,right,y
F#5,5/0,push,right,
F#5,11,pull,right,y
F#5,8,pull,right,
G5,4,push,right,y
G5,2/0,pull,right,
G#5,11,push,right,
G#5,9,pull,right,y
A5,8,push,right,y
A5,12,pull,right,
A#5,15,push,right,y
A#5,17,pull,right,
B5,12,push,right,
B5,15,pull,right,y
C6,16,push,right,
C6,0,pull,right,y
C#6,9,push,right,y
C#6,13,pull,right,
D6,14,push,right,
D6,14,pull,right,y
D#6,17,push,right,y
E6,13,push,right,y
E6,16,pull,right,
F6,18,push,right,y
F#6,18,pull,right,y
