id,title,translation,number,key,meter,piece_type,appears_in,composer,arranger,publisher,publication_place,copyright_holder,copyright_year,medium,file_name,notes,audio_recording
001,19320 End Fragment,,19320,D major,2/2,foxtrot,,,,,,,,print,001_19320-end-fragment_print.pdf,Fragment,
002,2611 End Fragment,,2611,D major,3/4,,,,,,,,,print,002_2611-end-fragment_print.pdf,Fragment,
003,4 Polish Dances,,6006,G major,3/4,mixed,,,,,,,,print,003_4-polish-dances_print.pdf,"Contains four distinct pieces: D Major Kuyawiak (3/4), D Major Kuyawiak (3/4), A Major Mazur (3/4), G major Oberek (3/4)",https://archive.org/details/78_cztery-tnce-polskie-cz-i_gbia0541268a;https://archive.org/details/78_cztery-tnce-polskie-cz-ii_gbia0541268b
004,42nd Street,,,B minor,2/2,foxtrot,"""42nd Street"" (1933 film)",Harry Warren,,,,,,pen,004_42nd-street_pen.pdf,"The very popular closing number from the film of the same name, numerous version were recorded",https://archive.org/details/JV-8149-1933-QmS9PLei5eQUzLk2D3S25B6fzq1mNcsX9LfbAT9hrJYs8h.mp3
006,8000 End Fragment,,8000,G major,3/4,,,,,,,,,print,006_8000-end-fragment_print.pdf,,
007,8469 End Fragment,,8469,G major,4/4,,,,,,,,,print,007_8469-end-fragment_print.pdf,Chords notated,
008,A Little Street Where Old Friends Meet,,,D major,3/4,waltz,,,,,,,,pen,008_a-little-street_pen.pdf,,
009,A Perfect Day,,1474,C major,3/4,song waltz,,Carrie Jacobs-Bond,Henry Silberhorn,Henry Silberhorn,,Carrie Jacobs-Bond,1910,print,009_a-perfect-day_print.pdf,"Includes snippet of ""I Love You Truly"" as introduction",
010,A Zawracaj Od Komina,Swing Around the Chimney,6012,G major,3/4,mazurka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Company,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,010_a-zawracaj-od_print.pdf,,
011,Ach Ich Bin So Muede,"Oh, I Am So Tired",4040,D major,2/4,polka,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,011_ach-ich-bin_print.pdf,,
012,All I Do Is Dream of You,,8652,D major,2/2,foxtrot,"MGM's Production ""Sadie McKee""",Nacio Herb Brown,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago Ill.",Metro-Goldwyn-Mayer Corp.,1934,print,012_all-i-do-is-dream_print.pdf,"Appears in musical, has tempo marking: ""slowly""",https://archive.org/details/78_all-i-do-is-dream-of-you_larry-vincent-freed-brown_gbia0089659b
013,Andzia s Kodeksem,Annie and the Rulebook,2696,D major,2/4,polka,V+E Polish Dance Collection no. 5,,M. Zmyslo,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,013_andzia-s-kodeksem_print.pdf,,
014,Baczność,Attention!,2420,D major,2/2,march,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,014_bacznosc_print.pdf,,
015,Barbara Polka,,2283,G major,2/4,polka,,,Rudy Patek,Patek's Music Store,"835 Milwaukee Ave., Chicago, Ill.",,,print,015_barabara-polka_print.pdf,,https://archive.org/details/78_barushka-barbara-polka_connecticut-polish-orchestra-p-d-vich_gbia0528784a
016,Barbara Polka,,,G major,2/4,polka,,,,,,,,pen,016_barbara-polka_pen.pdf,Copied from entry 015,https://archive.org/details/78_barushka-barbara-polka_connecticut-polish-orchestra-p-d-vich_gbia0528784a
017,Bartender Polka,,395,D major,2/4,polka,,"H. Gerlach, Tedy Demey",Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.",Southern Music Pub. Co.,"Broadway, N.Y.C.",print,017_bartender-polka_print.pdf,"Has note, ""As played on Victor Record V-613 by Will Glahe""",
018,Barbara Polka,,,G major,2/4,polka,,,,,,,,pen,018_baruska-polka_pen.pdf,"Duplicate of entry 016, also likely copied from one of these",https://archive.org/details/78_barushka-barbara-polka_connecticut-polish-orchestra-p-d-vich_gbia0528784a
019,"Be Still, My Heart",,8671,D major,2/2,foxtrot,,Allan Flynn and Jack Egan,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Broadway Music Corp.,1934,print,019_be-still-my-heart_print.pdf,,
020,"Będzie Piwko, Psie Korytko",Beer in the Doggie Dish,15062,D major,3/8,oberek,,,Sta Sobas,John Sitek,"Chicago, Ill.",John Sitek,1933,print,020_bedzie-piwko_print.pdf,Nonsensical drinking song title,
